Title,My,Calculated,Performance,Cinematography,Script,Plot,Mood,Source,Title type,Directors,AVG rating,IMDb Rating,Rotten Tom.,Metacritic,Runtime (mins),Year,Genres,# of IMDb votes,IMDb Top 250,1001 Must See…,Desire to see (A-F grading),Female dir.,Bechdel,LGBTQ Russo,Good Blu-ray,Foreign dir.,Netflix/Hulu streaming,LFPL,Wild & Woolly,description,US Release Date (month/day/year),URL,Created,Modified,MIDZ,1001 position,Female
The White Ribbon,7,82,9,9,7,8,8,,Feature Film,Michael Haneke,77,7.7,,,144,2009,"drama, mystery",36529,,Y,,,,,,,,,,"Download, burned & watched at Azung's.

DATE: 2009-10-18",5/21/2009,http://www.imdb.com/title/tt1149362/,,,103,229,
The Whole Nine Yards,9,0,,,,,,,Feature Film,Jonathan Lynn,66,6.6,,,98,2000,"comedy, crime",73869,,,,,,,,,,,,"One of Nick's favorites.  Watched this one over Christmas and got to borrow the cassette!

DATE: 2003-12-24",2/17/2000,http://www.imdb.com/title/tt0190138/,Fri Jan 23 11:00:00 2004,Wed Aug 10 16:04:03 2011,1410,,
The Wicker Man,7,0,,,,,,,Feature Film,Robin Hardy,76,7.6,,,88,1973,"horror, mystery, thriller",32214,,Y,,,,,,,,,,Supposedly has good music.,1973-12,http://www.imdb.com/title/tt0070917/,,,113,368,
The Wild Bunch,,0,,,,,,,Feature Film,Sam Peckinpah,81,8.1,,,145,1969,western,48739,,Y,,,,,,,,,,,6/18/1969,http://www.imdb.com/title/tt0065214/,,,542,552,
The Wizard of Oz,9,92,10,10,9,8,9,,Feature Film,Victor Fleming,82,8.2,,,101,1939,"adventure, family, fantasy, musical",183475,Y,Y,C,,,,Y,,,,,,8/12/1939,http://www.imdb.com/title/tt0032138/,,,891,766,
The Wolf Man,,0,,,,,,,Feature Film,George Waggner,83.5,7.3,94,n/a,70,1941,"drama, horror",11087,,Y,B,,,,,,Ne,,,,12/9/1941,http://www.imdb.com/title/tt0034398/,,,878,968,
The Woman in the Window,,0,,,,,,,Feature Film,Fritz Lang,89,7.8,100,,107,1944,"crime, drama, film-noir, mystery, thriller",7183,,,,,,,,,,,DV,,,,1/15/2014,,2979,,
The Wonder Years,9,87,8,8,9,9,9,,TV Series,,82,8.2,,,30,1988,"comedy, drama",20110,,,,,,,,,,,,,1/31/1988,http://www.imdb.com/title/tt0094582/,Mon Mar 21 12:00:00 2011,Wed Aug 10 16:04:04 2011,1854,,
The World According to Garp,,0,,,,,,,Feature Film,George Roy Hill,70,7,,,136,1982,"comedy, drama",16236,,,,,,,,,,,,,7/23/1982,http://www.imdb.com/title/tt0084917/,Wed Nov 14 11:00:00 2001,Wed Aug 10 16:04:03 2011,2194,,
The World of Apu,,0,,,,,,,Feature Film,Satyajit Ray,89.5,7.9,100,,105,1959,drama,4724,,Y,,,,,,India,,,,Apu III,5/1/1959,http://www.imdb.com/title/tt0052572/,,,685,568,
The World's End,,0,,,,,,,Feature Film,Edgar Wright,75,7.5,,,109,2013,"action, comedy, sci_fi",33970,,,,,,,,,,,,,7/18/2013,http://www.imdb.com/title/tt1213663/,Mon Sep 16 07:16:55 2013,Mon Sep 16 07:16:55 2013,2799,,
The World's Fastest Indian,8,0,,,,,,,Feature Film,Roger Donaldson,76,7.8,82,68,127,2005,"biography, drama, sport",35144,,,,,,,,,,,,"Hollywood DVD rental. Started off a little slow, but good action sequences. Look forward to watching the true-story extras on the DVD.

DATE: 2006-09-05",9/10/2005,http://www.imdb.com/title/tt0412080/,Wed Sep  6 12:00:00 2006,Wed Aug 10 16:04:03 2011,1542,,
The Wrestler,9,0,,,,,,,Feature Film,Darren Aronofsky,80,8,,,109,2008,"drama, romance, sport",208090,,,,,1,,,,,,,"Netflix dvd rental. Nathan, Jon, and Michael.

DATE: 2009-05-24",9/5/2008,http://www.imdb.com/title/tt1125849/,Mon May 25 12:00:00 2009,Wed Aug 10 16:04:04 2011,1646,,
The Wrong Man,,0,,,,,,,Feature Film,Alfred Hitchcock,75,7.5,,,105,1956,"crime, drama",12838,,Y,F,,,,,,,,,,12/22/1956,http://www.imdb.com/title/tt0051207/,,,727,631,
The Wrong Trousers,8,0,,,,,,,Short Film,Nick Park,84,8.4,,,30,1993,"animation, comedy, crime, family",32115,,,,,,,,,,,,,1993-10,http://www.imdb.com/title/tt0108598/,Wed Dec 12 11:00:00 2001,Wed Aug 10 16:04:03 2011,1276,,
The X Files: I Want to Believe,8,0,,,,,,,Feature Film,Chris Carter,58,5.8,,,104,2008,"drama, mystery, sci_fi, thriller",62241,,,,,,,,,,,,"Green Hills, matinee with Darrius after tennis.

DATE: 2008-07-25",7/24/2008,http://www.imdb.com/title/tt0443701/,Fri Jul 25 12:00:00 2008,Wed Aug 10 16:04:04 2011,1604,,
The Young Girls of Rochefort,,0,,,,,,,Feature Film,Jacques Demy,74,7.4,,,120,1967,"comedy, drama, musical, romance",3217,,Y,C,,,,,,Ne,,,,3/8/1967,http://www.imdb.com/title/tt0062873/,,,569,665,
The Young One,,0,,,,,,,Feature Film,Luis Buñuel,88,7.6,100,n/a,95,1960,drama,1406,,Y,D,,,,,,DVD,,,,1960-05,http://www.imdb.com/title/tt0053967/,,,677,640,
The Yum Yum Girls,,0,,,,,,,Feature Film,Barry Rosen,52,5.2,,,93,1976,"comedy, drama",53,,,,,,,,,,,,,1976,http://www.imdb.com/title/tt0075451/,Sun Feb 24 11:00:00 2002,Wed Aug 10 16:04:03 2011,2222,,
Thelma & Louise,?,0,,,,,,,Feature Film,Ridley Scott,73,7.3,,,130,1991,"adventure, crime, drama, thriller",71174,,Y,,,,,,,,,,,5/24/1991,http://www.imdb.com/title/tt0103074/,,,254,182,
"Thelonious Monk: Straight, No Chaser",,0,,,,,,,Documentary,Charlotte Zwerin,79,7.5,83,n/a,90,1988,"documentary, biography, music",591,,,,Y,,,,,,,,,10/25/1988,http://www.imdb.com/title/tt0098465/,Mon Oct 29 11:00:00 2001,Wed Aug 10 16:04:03 2011,2184,,
There Will Be Blood,8,90,10,10,8,8,9,,Feature Film,Paul Thomas Anderson,81,8.1,,,158,2007,drama,242460,Y,Y,,,1,,,,Ne,,,"Emily in the couch seat at Regal Bellevue.

DATE: 2008-03-12",9/27/2007,http://www.imdb.com/title/tt0469494/,,,68,57,
Thief,,0,,,,,,,Feature Film,Michael Mann,72,7.2,,,122,1981,"action, crime, drama, thriller",9052,,,,,,,,,,,,,3/27/1981,http://www.imdb.com/title/tt0083190/,Sat Jul 27 16:17:20 2013,Sat Jul 27 16:17:20 2013,2789,,
Things to Come,,0,,,,,,,Feature Film,William Cameron Menzies,67,6.7,,,100,1936,sci_fi,3469,,Y,,,,,,,H+,,,,2/20/1936,http://www.imdb.com/title/tt0028358/,,,926,961,
Things We Lost in the Fire,,0,,,,,,,Feature Film,Susanne Bier,71,7.1,,,118,2007,drama,20335,,,,Y,,,,,,,,,9/26/2007,http://www.imdb.com/title/tt0469623/,Wed Feb 10 11:00:00 2010,Wed Aug 10 16:04:04 2011,2591,,
Thir13en Ghosts,,0,,,,,,,Feature Film,Steve Beck,53,5.3,,,91,2001,"horror, mystery, thriller",49457,,,,,,,,,,,,,10/23/2001,http://www.imdb.com/title/tt0245674/,Thu Oct 25 12:00:00 2001,Wed Aug 10 16:04:03 2011,2179,,
Thirst,9,0,,,,,,,Feature Film,Chan-wook Park,71,7.1,,,133,2009,"drama, horror, thriller",22491,,,,,,,,,,,,"9 out of 10. Floyd theater w/ Azung.

DATE: 2009-10-29",4/30/2009,http://www.imdb.com/title/tt0762073/,Fri Oct 30 12:00:00 2009,Wed Aug 10 16:04:04 2011,1694,,
Thirteen,,0,,,,,,,Feature Film,Catherine Breillat,68,6.8,,,100,2003,"biography, drama",51892,,,,Y,,,,Fr.,,,,,37638,http://www.imdb.com/title/tt0328538/,,,1060,,
Thirty Two Short Films About Glenn Gould,,0,,,,,,,Feature Film,FranÃ§ois Girard,72,7.2,,,98,1993,"biography, drama, music",2550,,Y,,,,,,,,,,,9/14/1993,http://www.imdb.com/title/tt0108328/,,,229,190,
This Film Is Not Yet Rated,,0,,,,,,,Documentary,Kirby Dick,75,7.5,,,98,2006,documentary,20556,,,,,,,,,,,,,1/25/2006,http://www.imdb.com/title/tt0493459/,Thu Jun  7 18:46:52 2012,Thu Jun  7 18:46:52 2012,2737,,
This Is England,,0,,,,,,,Feature Film,Shane Meadows,76,7.6,,,101,2006,"crime, drama",75575,,,,,,,,,,,,,9/12/2006,http://www.imdb.com/title/tt0480025/,Fri Jul 15 12:00:00 2011,Wed Aug 10 16:04:04 2011,2697,,
This Is Spinal Tap,?,92,9,8,9,9,10,,Feature Film,Rob Reiner,80,8,,,82,1984,"comedy, music",79842,,Y,B,,1,,Y,,Ne,,,,3/2/1984,http://www.imdb.com/title/tt0088258/,,,350,339,
This Is the End,9,0,,,,,,,Feature Film,"Evan Goldberg, Seth Rogen",74,7.1,84,67,107,2013,"comedy, fantasy",96389,,,,,,,,,,,,,6/3/2013,http://www.imdb.com/title/tt1245492/,Thu Jun 20 15:44:59 2013,Thu Jun 20 15:44:59 2013,2046,,
This Is the Life,,0,,,,,,,Documentary,Ava DuVernay,83,8.3,n/a,n/a,97,2008,"documentary, music",54,,,B,Y,,,,African-American,No,LFPL Fern. iTunes,No,,,,11/14/2013,,2913,,
This Must Be the Place,,0,,,,,,,Feature Film,Paolo Sorrentino,66,6.6,,,118,2011,"comedy, drama",16767,,,,,,,,,,,,,5/20/2011,http://www.imdb.com/title/tt1440345/,Mon Jul  1 19:31:20 2013,Mon Jul  1 19:31:20 2013,2784,,
Those Three,8,0,,,,,,,Feature Film,Naghi Nemati,72,7.2,,,80,2007,,67,,,,,,,,,,,,"Global Lens Series. First time at Muhammad Ali Center. Discussion with local filmmaker afterwards. Azung.

DATE: 2009-11-15",9/13/2007,http://www.imdb.com/title/tt1097210/,Sun Nov 15 11:00:00 2009,Wed Aug 10 16:04:04 2011,1701,,
Three Brothers,,0,,,,,,,Feature Film,Francesco Rosi,71,7.1,,,113,1981,drama,674,,Y,,,,,,,,,,,3/19/1981,http://www.imdb.com/title/tt0083226/,,,393,465,
Three Colors: Blue,,0,,,,,,,Feature Film,Krzysztof Kieślowski,89.5,7.9,100,n/a,98,1993,"drama, music, mystery, romance",41588,,Y,,,,,,Pol.,H+,,,,1/10/1993,http://www.imdb.com/title/tt0108394/,,,222,81,
Three Colors: Red,,0,,,,,,,Feature Film,Krzysztof Kieślowski,90,8,100,n/a,99,1994,"drama, mystery, romance",41081,,Y,,,,,,Pol.,H+,,,,5/12/1994,http://www.imdb.com/title/tt0111495/,,,207,82,
Three Colors: White,,0,,,,,,,Feature Film,Krzysztof Kieślowski,83,7.6,90,n/a,91,1994,"comedy, drama, mystery, romance",31139,,,,,,,,Pol.,H+,,,,1/26/1994,http://www.imdb.com/title/tt0111507/,Fri Sep 23 12:09:53 2011,Fri Sep 23 12:09:53 2011,2713,,
Three Kings,,0,,,,,,,Feature Film,David O. Russell,72,7.2,,,114,1999,"action, adventure, comedy, drama, war",104942,,Y,,,,,,,,,,,9/27/1999,http://www.imdb.com/title/tt0120188/,,,158,213,
Three Lives and Only One Death,,0,,,,,,,Feature Film,Raoul Ruiz,68,6.8,,,123,1996,"comedy, crime",622,,Y,,,,,,,,,,,5/15/1996,http://www.imdb.com/title/tt0117968/,,,186,205,
Throne of Blood,,0,,,,,,,Feature Film,Akira Kurosawa,81,8.1,,,110,1957,drama,19426,,Y,,,,,,,,,,,1/15/1957,http://www.imdb.com/title/tt0050613/,,,707,508,
Through a Glass Darkly,,0,,,,,,DV 2003 Criterion,Feature Film,Ingmar Bergman,89.5,7.9,100,,89,1961,drama,9908,,Y,B,,,,,,H+,LFPL Cres 2003 Criterion,DV,"New style, Trilogy of Faith and chamber dramas. w/ Winter Light and Silence.",10/16/1961,http://www.imdb.com/title/tt0055499/,,,657,580,
Through the Olive Trees,,0,,,,,,,Feature Film,Abbas Kiarostami,76,7.6,,,103,1994,drama,2469,,Y,,,,,,,,,,,1994-05,http://www.imdb.com/title/tt0111845/,,,211,130,
THX 1138,7,0,,,,,,,Feature Film,George Lucas,67,6.7,,,86,1971,"sci_fi, thriller",30467,,,,,,,,,,,,,3/11/1971,http://www.imdb.com/title/tt0066434/,Mon Jul 19 12:00:00 2004,Wed Aug 10 16:04:03 2011,1436,,
Tibet: Cry of the Snow Lion,,0,,,,,,,Documentary,Tom Peosay,68,6.8,,,104,2002,"documentary, history",539,,,,,,,,,,,,,9/13/2002,http://www.imdb.com/title/tt0373389/,Tue Jul 13 12:00:00 2010,Wed Aug 10 16:04:04 2011,2625,,
Tigerland,,0,,,,,,,Feature Film,Joel Schumacher,70,7,,,101,2000,"drama, war",28421,,,,,,,,,,,,,9/13/2000,http://www.imdb.com/title/tt0170691/,Fri Apr  2 11:00:00 2004,Wed Aug 10 16:04:03 2011,2410,,
Time Changer,,0,,,,,,,Feature Film,Rich Christiano,51,5.1,,,95,2002,"drama, sci_fi",1411,,,,,,,,,,,,,10/25/2002,http://www.imdb.com/title/tt0295725/,Tue Oct 22 12:00:00 2002,Wed Aug 10 16:04:03 2011,2280,,
Time of the Gypsies,,0,,,,,,,Feature Film,Emir Kusturica,79,7.9,,,270,1988,"comedy, crime, drama, fantasy",12251,,Y,,,,,,,,,,Dom za vesanje (original title),12/21/1988,http://www.imdb.com/title/tt0097223/,,,284,9,
Time to Leave,8,0,,,,,,,Feature Film,FranÃ§ois Ozon,70,7,,,81,2005,drama,5838,,,,,,,,,,,,,5/16/2005,http://www.imdb.com/title/tt0417189/,Sun Jul 11 12:00:00 2010,Wed Aug 10 16:04:04 2011,1802,,
Tinker Tailor Soldier Spy,,0,,,,,,,Feature Film,Tomas Alfredson,71,7.1,,,127,2011,"drama, mystery, thriller",102301,,Y,,,,,,,,,,,9/5/2011,http://www.imdb.com/title/tt1340800/,,,129,999,
Tiny Furniture,7,77,8,7,8,7,8,,Feature Film,Lena Dunham,70.6666666666667,6.3,77,72,98,2010,"comedy, drama",6530,,,recent,Y,,,,,Ne,"LFPL Fern, Shiv. Criterion. ",DVD,,40252,http://www.imdb.com/title/tt1570989/,,11/24/2013,1089,,
Titan A.E.,8,0,,,,,,,Feature Film,"Don Bluth, Gary Goldman",65,6.5,,,94,2000,"animation, action, adventure, family, sci_fi",43256,,,,,,,,,,,,"Watched with Beetz morning after MM Memphis.

DATE: 2009-10-26",6/13/2000,http://www.imdb.com/title/tt0120913/,Wed Oct 28 12:00:00 2009,Wed Aug 10 16:04:04 2011,1692,,
Titanic,,0,,,,,,,Feature Film,James Cameron,76,7.6,,,194,1997,"drama, romance",497362,,Y,,,,,,,,,,,11/1/1997,http://www.imdb.com/title/tt0120338/,,,179,141,
Titus,6,0,,,,,,,Feature Film,Julie Taymor,71,7.1,,,162,1999,"drama, history, thriller",15219,,,,Y,,,,,,,,,12/25/1999,http://www.imdb.com/title/tt0120866/,Mon Aug  7 12:00:00 2000,Wed Aug 10 16:04:03 2011,1149,,
TMNT,9,0,,,,,,,Feature Film,Kevin Munroe,63,6.3,,,87,2007,"animation, action, adventure, comedy, family, fantasy, sci_fi",43461,,,,,,,,,,,,"Kat and I loved the NINJA! Carmike Thouroughbred theater.

DATE: 2007-03-23",3/22/2007,http://www.imdb.com/title/tt0453556/,Sun Mar 25 12:00:00 2007,Wed Aug 10 16:04:04 2011,1562,,
To Be or Not to Be,,0,,,,,,,Feature Film,Ernst Lubitsch,81,8.1,,,99,1942,"comedy, war",13649,,Y,,,,,,,,,,,2/15/1942,http://www.imdb.com/title/tt0035446/,,,866,775,
To End All Wars,,0,,,,,,,Feature Film,David L. Cunningham,69,6.9,,,125,2001,"drama, war, action",7463,,,,,,,,,,,,,9/2/2001,http://www.imdb.com/title/tt0243609/,Wed Feb  5 11:00:00 2003,Wed Aug 10 16:04:03 2011,2317,,
To Have and Have Not,,0,,,,,,,Feature Film,Howard Hawks,79,7.9,,,100,1944,"adventure, romance, thriller, war",17136,,Y,,,,,,,,,,,10/11/1944,http://www.imdb.com/title/tt0037382/,,,852,861,
To Hell and Back,,0,,,,,,,Feature Film,Jesse Hibbs,72,7.2,,,106,1955,"action, biography, drama, romance, war",2997,,,,,,,,,,,,,8/17/1955,http://www.imdb.com/title/tt0048729/,Mon May 25 12:00:00 2009,Wed Aug 10 16:04:03 2011,2524,,
To Kill a Mockingbird,?,0,,,,,,,Feature Film,Robert Mulligan,84,8.4,,,129,1962,"crime, drama, mystery",137517,Y,Y,,,,,,,,,,,12/25/1962,http://www.imdb.com/title/tt0056592/,,,641,530,
To Rome with Love,8,0,,,,,,,Feature Film,Woody Allen,63,6.3,,,112,2012,"comedy, romance",41948,,,,,,,,,,,,,4/20/2012,http://www.imdb.com/title/tt1859650/,Sun Jul  8 07:13:20 2012,Sun Jul  8 07:13:20 2012,1936,,
To the Devil,,0,,,,,,,Documentary,Claire Denis,63,6.3,,,42,2011,,9,,,,Y,,,,Fr.,,,,,,,,,1082,,
Tokyo Olympiad,,0,,,,,,,Documentary,Kon Ichikawa,77,7.7,,,170,1965,"documentary, sport",844,,Y,,,,,,,,,,,9/24/1965,http://www.imdb.com/title/tt0059817/,,,596,540,
Tokyo Story,8,83,9,9,9,9,7,BD 2013 Criterion,Feature Film,Yasujirō Ozu,91,8.2,100,n/a,136,1953,drama,16478,,Y,recent,,3,,Y,,H+ DVD,Az,BD,,11/3/1953,http://www.imdb.com/title/tt0046438/,11/20/2013,12/3/2013,762,239,
Tongues Untied,,0,,,,,,,Documentary,Marlon Riggs,60,6,,,55,1989,documentary,374,,Y,B,,,3,,,,,,,1989-07,http://www.imdb.com/title/tt0103099/,,,278,184,
Tootsie,,0,,,,,,,Feature Film,Sydney Pollack,74,7.4,,,116,1982,"comedy, drama, romance",57232,,Y,,,,,,,,,,,12/1/1982,http://www.imdb.com/title/tt0084805/,,,382,468,
Top Gun,?,0,,,,,,,Feature Film,Tony Scott,67,6.7,,,110,1986,"action, drama, romance",148378,,Y,,,,,,,,,,,5/12/1986,http://www.imdb.com/title/tt0092099/,,,330,487,
Top Hat,,0,,,,,,,Feature Film,Mark Sandrich,77,7.7,,,101,1935,"comedy, musical, romance",9748,,Y,,,,,,,,,,,8/30/1935,http://www.imdb.com/title/tt0027125/,,,932,912,
Top of the Lake,9,90,9,9,9,9,9,,Television Series,Jane Campion,75,7.5,,,,2013,,4018,,,recent,Y,,,,New Z.,Ne,,,,,,,10/26/2013,1026,,4
Topsy-Turvy,,0,,,,,,,Feature Film,Mike Leigh,72,7.2,,,160,1999,"biography, comedy, drama, music, musical",8484,,,,,,,,,,,,,9/3/1999,http://www.imdb.com/title/tt0151568/,Sat Sep 20 12:00:00 2003,Wed Aug 10 16:04:03 2011,2373,,
Tora! Tora! Tora!,,0,,,,,,,Feature Film,"Richard Fleischer, Kinji Fukasaku",74,7.4,,,144,1970,"action, adventure, drama, history, war",19599,,,,,,,,,,,,,9/23/1970,http://www.imdb.com/title/tt0066473/,Mon Feb  4 11:00:00 2002,Wed Aug 10 16:04:03 2011,2211,,
Total Eclipse,,0,,,,,,,Feature Film,Agnieszka Holland,44,6.3,25,,111,1995,"biography, drama",7304,,,,Y,,,,Pol.,,Play Vu AzBlu,DVD,DiCaprio,,,,,1037,,
Total Recall,?,0,,,,,,,Feature Film,Paul Verhoeven,75,7.5,,,113,1990,"action, adventure, sci_fi",165932,,Y,,,,,,,,,,,6/1/1990,http://www.imdb.com/title/tt0100802/,,,263,118,
Touch of Evil,,0,,,,,,DV 2008 Universal 50th,Feature Film,Orson Welles,88.5,8.2,95,n/a,95,1958,"crime, film_noir, thriller",49964,,Y,B,,,,,,,LFPL DV2000 Iro,DV 50th,,4/23/1958,http://www.imdb.com/title/tt0052311/,,,692,513,
Touching the Void,,0,,,,,,,Documentary,Kevin Macdonald,79,7.9,,,106,2003,"documentary, adventure, drama, sport",19272,,,,,,,,,,,,,9/5/2003,http://www.imdb.com/title/tt0379557/,Thu Jul  8 12:00:00 2004,Wed Aug 10 16:04:03 2011,2431,,
Towards Mathilde,,0,,,,,,,Documentary,Claire Denis,74,7.4,n/a,n/a,84,2005,,59,,,,Y,,,,Fr.,,,,PJ Harvey,,,,,1015,,
Toy Story,?,0,,,,,,,Feature Film,John Lasseter,83,8.3,,,81,1995,"animation, adventure, comedy, family, fantasy",355199,,Y,,,,,,,,,,,11/19/1995,http://www.imdb.com/title/tt0114709/,,,191,27,
Toy Story 2,?,0,,,,,,,Feature Film,"John Lasseter, Ash Brannon",89,7.9,100,88,92,1999,"animation, adventure, comedy, family, fantasy",256159,,Y,,,,,,,,,,1001 2013,,,10/14/2013,,2852,,
Toy Story 3,,0,,,,,,,Feature Film,Lee Unkrich,84,8.4,,,103,2010,"animation, adventure, comedy, family, fantasy",320823,Y,,,,3,,,,,,,,6/12/2010,http://www.imdb.com/title/tt0435761/,Mon Jan  4 11:00:00 2010,Wed Aug 10 16:04:04 2011,2579,,
TPB AFK: The Pirate Bay Away from Keyboard,9,87,9,7,8,10,9,,Documentary,Simon Klose,75,7.5,,,85,2013,documentary,7799,,,recent,,,,,,,,,,2/8/2013,http://www.imdb.com/title/tt2608732/,Sun Oct  6 18:22:21 2013,10/7/2013,2084,,
Trading Places,9,0,,,,,,,Feature Film,John Landis,74,7.4,,,116,1983,comedy,72518,,,,,,,,,,,,,6/8/1983,http://www.imdb.com/title/tt0086465/,Mon Mar 14 12:00:00 2011,Wed Aug 10 16:04:04 2011,1853,,
Trading Spouses: Meet Your New Mommy: D'Amico-Flisher/Perrin: Part 2,10,0,,,,,,,TV Episode,,50,5,,,,2004,"comedy, reality_tv",5,,,,,,,,,,,,,11/9/2005,http://www.imdb.com/title/tt0955080/,Sun Dec 13 11:00:00 2009,Wed Aug 10 16:04:04 2011,1722,,
Traffic,7,0,,,,,,,Feature Film,Steven Soderbergh,76,7.6,,,147,2000,"crime, drama, thriller",143006,,,,,,,,,,,,,12/27/2000,http://www.imdb.com/title/tt0181865/,Sun Feb  4 11:00:00 2001,Wed Aug 10 16:04:03 2011,1168,,
Train of Life,8,0,,,,,,,Feature Film,Radu Mihaileanu,75,7.5,,,103,1998,"comedy, drama, war",5795,,,,,,,,,,,,,9/5/1998,http://www.imdb.com/title/tt0170705/,Fri Sep 28 12:00:00 2001,Wed Aug 10 16:04:03 2011,1260,,
Training Day,8,0,,,,,,,Feature Film,Antoine Fuqua,76,7.6,,,122,2001,"action, crime, drama, thriller",211259,,,,,,,,,,,,,9/2/2001,http://www.imdb.com/title/tt0139654/,Sun Dec  9 11:00:00 2001,Wed Aug 10 16:04:03 2011,1273,,
Trainspotting,?,0,,,,,,,Feature Film,Danny Boyle,84.6666666666667,8.2,89,83,94,1996,"crime, drama",299811,Y,Y,C,,2,,,,Ne H+,,,,2/23/1996,http://www.imdb.com/title/tt0117951/,,,182,34,
Tranceformer - A Portrait of Lars von Trier,9,0,,,,,,,Documentary,"Stig BjÃ¶rkman, Fredrik von Krusenstjerna",58,5.8,,,52,1997,documentary,278,,,,,,,,,,,,,12/12/1997,http://www.imdb.com/title/tt0138883/,Mon Apr 29 18:00:15 2013,Mon Apr 29 18:00:15 2013,2025,,
Transcendent Man,,0,,,,,,,Documentary,Robert Barry Ptolemy,68,6.8,,,83,2009,documentary,1191,,,,,,,,,,,,,11/5/2009,http://www.imdb.com/title/tt1117394/,Tue Feb  8 11:00:00 2011,Wed Aug 10 16:04:04 2011,2649,,
Transformers,9,0,,,,,,,Feature Film,Michael Bay,71,7.1,,,144,2007,"action, adventure, sci_fi, thriller",376415,,,,,,,,,,,,"Green Hills theater with Dustin and Joey.

DATE: 2007-07-06",6/12/2007,http://www.imdb.com/title/tt0418279/,Wed Aug  9 12:00:00 2006,Wed Aug 10 16:04:03 2011,1540,,
Transformers: Dark of the Moon,6,0,,,,,,,Feature Film,Michael Bay,63,6.3,,,154,2011,"action, adventure, sci_fi",223305,,,,,,,,,,,,,6/23/2011,http://www.imdb.com/title/tt1399103/,Sat May  5 19:51:23 2012,Sat May  5 19:51:23 2012,1923,,
Transformers: Revenge of the Fallen,7,0,,,,,,,Feature Film,Michael Bay,59,5.9,,,150,2009,"action, adventure, sci_fi, thriller",225845,,,,,,,,,,,,"Hollywood 27 matinee with Jon and Nathan. Had to rush out @ end.

DATE: 2009-06-27",6/19/2009,http://www.imdb.com/title/tt1055369/,Sat Jun 27 12:00:00 2009,Wed Aug 10 16:04:04 2011,1661,,
Treasure Planet,,0,,,,,,,Feature Film,"Ron Clements, John Musker",68,6.8,,,95,2002,"animation, adventure, family, romance, sci_fi",40119,,,,,,,,,,,,,11/5/2002,http://www.imdb.com/title/tt0133240/,Tue Dec 17 11:00:00 2002,Wed Aug 10 16:04:03 2011,2297,,
Tribulation Force,,0,,,,,,,Feature Film,Bill Corcoran,49,4.9,,,94,2002,"drama, fantasy, sci_fi, thriller",2144,,,,,,,,,,,,,10/29/2002,http://www.imdb.com/title/tt0283644/,Tue Sep 24 12:00:00 2002,Wed Aug 10 16:04:03 2011,2266,,
Trick,,0,,,,,,,Feature Film,Jim Fall,66,6.6,,,89,1999,"comedy, music, romance",5667,,,,,,,,,,,,,1/27/1999,http://www.imdb.com/title/tt0162710/,Sat Oct 19 12:00:00 2002,Wed Aug 10 16:04:03 2011,2277,,
Trick 'r Treat,7,0,,,,,,,Feature Film,Michael Dougherty,67,6.7,,,82,2007,"comedy, horror, thriller",45351,,,,,,,,,,,,,12/9/2007,http://www.imdb.com/title/tt0862856/,Thu Jan  7 11:00:00 2010,Wed Aug 10 16:04:04 2011,1737,,
Trinity and Beyond: The Atomic Bomb Movie,,0,,,,,,,Documentary,Peter Kuran,77,7.7,,,92,1995,"documentary, history",2278,,,,,,,,,,,,,9/29/1995,http://www.imdb.com/title/tt0114728/,Wed May 11 12:00:00 2011,Wed Aug 10 16:04:04 2011,2681,,
Tristana,,0,,,,,,BD 2013 Cohen,Feature Film,Luis Buñuel,89.3333333333333,7.5,100,93,95,1970,drama,4711,,Y,,,,,,,,LFPL Iro.,DV,,3/29/1970,http://www.imdb.com/title/tt0066491/,,,531,678,
Triumph of the Will,4,0,,,,,,,Documentary,Leni Riefenstahl,84.5,7.5,94,n/a,114,1935,"documentary, war",7968,,Y,D,Y,,,,Ger.,Ne,Vu,DVD,,3/28/1935,http://www.imdb.com/title/tt0025913/,,,125,910,
TRON,,0,,,,,,,Feature Film,Steven Lisberger,67,6.7,,,96,1982,"action, adventure, sci_fi",73800,,,,,,,,,,,,,7/9/1982,http://www.imdb.com/title/tt0084827/,Tue Nov  2 11:00:00 2004,Wed Aug 10 16:04:03 2011,1449,,
TRON: Legacy,8,0,,,,,,,Feature Film,Joseph Kosinski,68,6.8,,,125,2010,"action, adventure, sci_fi",195804,,,,,,,,,,,,,11/30/2010,http://www.imdb.com/title/tt1104001/,Fri Dec 11 11:00:00 2009,Wed Aug 10 16:04:04 2011,1720,,
"Trop tôt, trop tard",,0,,,,,,,Feature Film,"Danièle Huillet, Jean-Marie Straub",54,5.4,,,100,1982,,138,,Y,,,,,,,,,,,2/17/1982,http://www.imdb.com/title/tt0083230/,,,380,466,
Trouble Every Day,,0,,,,,,,Feature Film,Claire Denis,49,6,47,40,101,2001,,3634,,,,Y,,,,Fr.,DVD,Az DVD,,,,,,,1084,,
Trouble in Paradise,,0,,,,,,,Feature Film,Ernst Lubitsch,80,8,,,83,1932,"comedy, crime, romance",7029,,Y,,,,,,,,,,,10/21/1932,http://www.imdb.com/title/tt0023622/,,,949,756,
